サークル,活動内容,活動日時・場所,所属人数,設立年,外国人学生の受け入れる状況,ラベル1,ラベル２
早稲田リンクス,"公認学生団体早稲田リンクスです。春季と秋季の年2回のフリーペーパー発行を中心に、Webメディア運営やその他の出版物発行、イベント企画も行っています。

フリーペーパーでは毎号異なるテーマ(「選ぶ」/「二項対立を考える」/「朝」/「喪失」など)を設定し、インタビュー、コラム、デザイン・写真記事といった形式で、テーマに対する多角的なアプローチを試みています。値段をつけずフリーで配布する分、商業市場から少し離れたところで、学生特有のモヤモヤを煮詰めたような雑誌をつくることができる点が魅力です。

記事執筆/編集、デザイン、カメラ、動画作成等、取り組める活動の幅が広いことが特徴です。

入会してから必要なスキルを身につけることができる環境が整っているので、興味があれば初心者・経験者問わず活躍できます。

大学に入って、自分の好きなことを活かしたい、なにか新しいことに挑戦したいという人はぜひ一度足を運んでみてください。",毎週水曜6限/学生会館,30人,1996年,0人,メディア·出版,出版
出版甲子園実行委員会,"出版甲子園は「学生に商業出版を」をビジョンに、ユニークなアイデアを持っている学生と出版社をつなげるべく活動しています。
主な活動としては、全国の学生から企画を募集し、団体員による数回の審査の後、現役の編集者が審査員となる決勝大会を開催しています。優れた企画は商業出版され、過去18年で既刊本は41冊に至りました。
私たち実行委員は大会に向け企画の審査や参加者のサポートをしています。また決勝大会のゲストの著名人やプロの編集者など、社会人とも多く関わります。……と紹介するとなんだか大変そうな印象ですが心配御無用。先輩は皆優しく面白い人ばかりで、個人の予定も尊重しており、兼サーも大歓迎です！
「本を出したい学生と出版社をつなぐ」、そんなここでしかできない経験をしてみませんか？",毎週木曜・他1日/21時〜/オンライン、月1程度/学生会館,31人,2005年,0人,メディア·出版,出版
出版団体 ENJI,"　出版団体ENJIは2009年10月に「ファッションデワセダヲカエル」をコンセプトに発足した学生団体です。
　主な活動は、年に3回のフリーマガジン（春夏号・秋号・冬号）の発行です。フリーマガジンの誌面に出演しているモデルは早稲田生で、そのモデルを探し出しコーディネートを組み衣装を着せ、カメラで撮影し、編集ソフトを使用して誌面のレイアウトやデザインを考える、この全てを自分たちの手で行っています。また、活動資金も自分たちで渉外活動を行い、企業や飲食店に協賛していただいて賄っています。
　サークルの雰囲気はいつも和やかで、先輩後輩に関係なくとても仲良しです。さまざまなファッション・カルチャー好きが集まり、楽しく活動しています！",毎週月曜日/18時半/学生会館,110人,2009年,0人,メディア·出版,出版
Perspective研究会,"perspective研究会は、早稲田大学を中心とした建築巡りのサークルです。日本女子大学、横浜国立大学、明治大学、東京大学などのさまざまな大学から集まったメンバーで、月1回、都内を中心に有名建築家の設計したさまざまな建築物を見学し、////
///////
/////春休み、夏休みの2回、4泊、または5泊の合宿を行い、都内周辺だけでなく、地方の建築物も見学しに行きます。////
///////
/////先輩の解説を聞きながら、雑誌や写真では感じることのできない建築を味わうことができる、他大学生との交流や情報交換によって建築を考えるうえで必要な知識を多くえることができます。////
///////
/////建築の勉強をしたい方、深めたい方、建築学科以外の方、留学生の方どなたでもぜひ参加してください！",毎月1回(主に土・日曜日)/都内近郊(見学先による),40人,1974年,"	0人",メディア·出版,コミュニケーション
アニメーション同好会 (WALT),"アニメーション同好会(WALT)ではアニメを観ることを中心に活動するいわゆる「消費系」サークルです。そして早稲田大学からの公認を受けているサークルで部室も与えられています。←ここが強い！と思う...。部室にはパソコンを設置しており、そこで過去のアニメから現在放映中のアニメまであらゆるアニメが多分ほぼ一通り見られるようになっています。アニメの他にもボードゲームや漫画、ライトノベル等も充実しています。したがって、WALT会員にはアニメオタクの他、様々な種類のオタクが部室で蠢いています。さて、WALTでは決まった活動日、時間はなく会員の気の向いたときに部室に来て活動をするという非常に自由な活動形態をとっているので、自分の都合に合わせたサークル活動ができます。また、このサークルの重要活動実績となっているのは「コミックマーケットへの参加」です。この通称コミケでは会員が協力して冊子を製作し販売しています。
",会員が部室にいるとき・学生会館E504室,20人,1978年,1人,メディア·出版,コミュニケーション
模擬国連早稲田研究会,模擬国連とは、一言で言うと国際会議をシミュレーションする活動です。世界各地で行われている模擬国連ですが、この模擬国連早稲田研究会では、毎週火曜日の6限から早稲田大学にて通常活動を行っています。会議合宿や全国大会、海外で行われる大会にも参加する事ができます！ 会議だけでなく遊びにも全力で取り組んでいて、遊び合宿などの楽しいイベントも満載です。質問などがあれば各種SNSやメールを通じてご連絡ください！,毎週火曜日/6・7限/学生会館または大学近隣施設,50人,1982年,0人,メディア·出版,コミュニケーション
GLOW,毎月のイベントの他に、月1回の定例会やランチ会・勉強会などの有志企画のイベントを始め、近年では早稲田祭で演劇上演や映画製作にチャレンジするなど実にさまざまです。また、専用の部室があり授業の合間なども楽しい時間を過ごすことができます。GLOWは、そのさまざまな活動を通してセクシュアルマイノリティーの学生同士が強い絆を結べる場です。,毎日 随時 サークルの特性上非公開,164人,1991年,"	4人",メディア·出版,コミュニケーション
e-learning コミュニケーション研究会(ELC),本サークルメンバーはe-learningによる受講が基本の人間科学部eスクールの学生で構成されています。したがって、学友同士のコミュニケーションの場が必要であり、毎年、数々のイベントを企画・実行し会員同士の情報共有と親睦の場を提供しています。春の入学祝賀会からスタートし、早慶戦の応援、夏合宿における勉強会、ゼミ検討会などを主な活動としております。そして、3月の卒業祝賀会では、教員の方々と学生が卒業していく先輩を祝い、在校生の学業への意欲向上の場として有意義なひと時を共有してます。今後も以上の活動を通じて、通信で学ぶ学友間の「友情と情熱の架け橋」として、積極的な活動に努めてまいります。,不定期/学生会館・人間科学部教室,380人,2003年,"	0人",メディア·出版,コミュニケーション
The Japan Times Youth Project,the japan times社が開催する英語プレゼン大会に向けて、時事的な議題に対して英語でのプレゼンテーションの技術を身につけております。扱う内容は、「日本における移民問題について」、「海外でのLGBT人権活動と日本の比較について」など、ジャンルを問わず、社会情勢についてプレゼンをしております。日々の活動では英語ディスカッションや英会話勉強会などを行い、普段から英語でのアカデミックなスキルを磨いております。国籍問わず、英語力関係なく、初心者から留学生まで幅広く在籍しておりますので、共に英語を通じた交流をしていきましょう。その他にはバーベキューやカラオケなどレクリエーションもしておりますので、是非お気軽にご参加ください。,毎週水曜日/17:00〜18:30/7号館,20人,2013年,"	6人",メディア·出版,コミュニケーション
Rethink Fashion Waseda,Rethink Fashion Waseda (ReF)は「サステナブルファッションをライフスタイルに」というビジョンのもと、学生でも日常に取り入れやすいサステナブルファッションの情報をSNSで発信しています。そうすることでファッションの持続可能性について考え、行動する仲間を増やすことを目指しています。主なプラットフォームであるInstagramでは24年現在、3000人を超えるフォロワーに情報を届けています。また、イベント開催（古着のフリーマーケットやビーチクリーンなど）や企業コラボレーション（ファッション誌WWD、JanSports、日本経済新聞など）を通じて学びや行動の幅を広げ、より環境や人に優しいサステナブルな社会づくりに貢献するべく活動しています。,月末日曜日/21時/オンライン(zoom),60人,2020年,0人,メディア·出版,コミュニケーション
広告研究会,"私たち広告研究会は広告を「人を動かすもの」と捉え、日常生活を広告でどう変えていくか日々研究しています。この定義の広さはそのまま活動の幅の広さ、サークル員の多様性につながっています。そのため、広告研究会には誰にとってもやりたいと思える活動が必ずあります。また文化系、体育会系を問わず多様なサークル員が集まるため非常に個性の強い集団であると言えます。 /
/また、100年を超える歴史もそういった人と活動の多様性を作り出しています。大正2年から続く歴史から外部の信頼が厚く、OB・OGの方々もたくさんの功績を持った人ばかりです。恵まれた土壌で、私たちは企業から頂く課題に沿って広告を制作することはもちろん、大学のサークルや周辺の商店街、イベントなど多角的なアプローチで広告を考えています。/
/広告は「人を動かすもの」、机上の知識で終わってはいけません。外部へ発信して、人を動かすまでが私たちの活動です。たくさんの人とのコミュニケーションを通じて私たちは広告を日本に発信し、そして広告で日本を盛り上げるために日々奮闘しています。 　広告制作に経験者という言葉はありません。個性と本気で取り組む熱意、そして踏み込む勇気が何より大切です。時にはつらいと思うこともあるかも知れません。しかし、私たちは広告と真剣に向き合い、新たな可能性を探し、挑戦を続けていきます。そんな毎日が私たちのかけがえのない思い出を作るのです。",毎週火・金曜日/18時半〜21時/早稲田大学学内教室・学生会館,300人,1913年,0人,メディア·出版,マスメディア
放送研究会,私たち放送研究会は1000以上あると言われている早稲田大学のサークルの中で最大規模を誇ります。主な活動は大きく分けて以下の二つです。 一つ目が、映像・音響・照明の機材、アナウンスの技術を用いた活動です。早稲田内外のさまざまな団体の依頼を受け、それぞれのニーズに合わせた機材を使ったオペレーションや、MCを担当しています。代表的な例として野球の早慶戦での音だしとMC，早稲田祭は特設ステージでのオペレーションを委託されています。二つ目が、コンテンツ制作・企画立案です。他団体の公演やイベントのサポートを請け負うだけではなく、放送研究会では自分たちで企画を立案し、コンテンツを発信しています。また、制作した番組を発表する場として、例年6月と12月に「番組発表会」というイベントを行っています。具体的にはゲストによる漫才や大喜利などのお笑い企画、ダンスなどのパフォーマンス企画などを立案し、自分たちでオペレーションも手掛けています。早稲田大学放送研究会は今年で創立76年を迎えました。長い歴史の中で培われてきた機材知識や制作能力、アナウンス技術は、会員が増えた今でも衰えることなく受け継がれています。放送研究会のさらなる発展のため、会員ひとりひとりが主体的に活動しています。,曜日・時間不定/学生会館,550人,1946年,0人,メディア·出版,マスメディア
アナウンス研究会（WAK),滑舌・発声の練習、フリートーク練習のような基本的な練習から、NEWS、朗読、セリフ読み、ラジオCM、実況、MC、リポート、ラジオパーソナリティーのような実践的な練習まで、ありとあらゆるアナウンスメントを探究しています。番組作りのための機材の練習もできます！サークル員は180名ほどで、全て早稲田大学の学生、男女比は1:1ほどです。毎日活動が行われていて参加自由なので、兼サーもしやすいです。毎日来ていっぱい練習がしたい！という人も大歓迎です。活動ごとに、声優に興味がある！ いやいや私はアナウンサー、しゃべるのが好きなんだー、話がうまくなりたい！ など、さまざまな会員がいます。夏合宿や春合宿、作品発表会、早稲田祭でのサテライトスタジオ、サークル内での卒業式など、会員全員での一体感を得られる大学生っぽい活動もあります。同じ目的を持った仲間を見つけられますし、自分の知らない世界にも出会えますよ！ せっかくの大学生活、色んなことを経験することはとても大事です。その経験を魅力的に語る力を、アナウンス研究会で身に着けてみませんか？どんな経験よりも、あなたの声が、一番心強い武器になってくれますよ。,毎日（自由参加！）/学生会館,180人,1952年,0人,メディア·出版,マスメディア
早稲田スポーツ新聞会,「全ての体育各部に光を」。早稲田スポーツ新聞会（早スポ）は、早大に属する体育各部全44部を取材し、新聞、HP、各種SNSを通じて早稲田スポーツの魅力をお伝えしています！　選手へのインタビュー、試合記事の執筆、プレー中の写真撮影、本格的な新聞制作と、早スポでしかできない経験が盛りだくさん。新聞の現地配布やSNSによって、学外の方にも広く記事や写真をご覧いただいています。そうして設立当初から発行し続け、長く愛されてきた新聞は、今年の早慶野球（春）号で記念すべき600号を迎えます！　また、合宿やスポーツ大会など、取材以外の楽しいイベントもたくさん行っています。スポーツが好きな人はもちろん、メディアに興味がある人、画像制作やカメラが好きな人など、誰もが活躍できるサークルです。途中入会も大歓迎。気軽な新歓参加やお問い合わせをお待ちしています！,（時間は活動によりけり）各大会場所/学生会館/東日印刷所,169人,1959年,0人,メディア·出版,マスメディア
FM waseda,FMwasedaは、ラジオ番組制作を中心に活動している早稲田大学公認サークルです！ さまざまな形で制作した番組を発信しています。ラジオパーソナリティーだけではなく、ミキサー（録音機材技術者）やディレクター、構成作家やラジオドラマの声優など、制作活動に関わるあらゆるものを学生だけで行っています。活動は飲食店やインターネットでのラジオ番組の配信、放送コンテストへの参加、早稲田祭でのイベント開催などさまざまです。また、年2回ほどサークル合宿も行います。収録のための機材の扱い方は最初に学ぶため、初心者でもすぐに活動を行えます。「面白いものを作りたい」というやる気さえあれば、誰でもすぐに活動できる。それがFMwasedaです。,随時活動/月に1回定例会を開催/学生会館,79人,1996年,0人,メディア·出版,マスメディア
理工展連絡会,私たち、理工展連絡会は毎年11月上旬に開催される早稲田理工の学園祭『理工展』の企画・運営を行っている学園祭運営サークルです。毎週土曜日に、理工展の開催に向けて活動しています。理工生限定のサークルでは最大級の規模を誇っています。理工の全学部・全学科より満遍なく集まっているため、理工生にとって大変居心地の良い環境となっています。活動が終わった後に食事に行くことや、年3回の旅行、サークル内のイベントなど、活動外での企画もあるため、幅広い友人関係を築くことが出来ます。そんな理工展連絡会の推しポイントは『活動範囲の広さ』です。高校の学園祭と比較すると、大学の学園祭は活動の範囲が広く、自分たちでイチから作り上げる事になります。学園祭当日の企画だけでなく、資金調達、イベントの宣伝、機材調整・当日人員の配置など、高校の学園祭では触れる事の無かった部分まで触れる事が出来ます。もちろん、土台から作り上げるという事は簡単な事ではありませんが、その分やり切った時の爽快感は想像以上のものです。私たちは『学園祭の成功』という目標に向けて共に戦う仲間を募集しています。理工展連絡会に興味のある方はWEBサイトやSNSにて様々な新歓企画を紹介しておりますので、是非立ち寄ってみてください。お待ちしております！,毎週土曜日/13時～17時/西早稲田キャンパス教室,257人,1954年,0人,メディア·出版,企画
人物研究会,私たち早大人物研究会は各界で活躍されている著名人の方々に自分たちでインタビューをすることで、マスメディアとは違った切り口でインタビュイーを取材し今まで知ることのできなかった別の一面を引き出すことを目的に活動しています。具体的な活動内容としては、インタビュー対象者の決定、アポイントメント、取材、リポート作成などです。活動のやり方については会員が優しく丁寧にサポートしていきますので誰でも安心して始められます。それぞれの意見を尊重しながらもお互いに高め合おうとする活気のある現場です。また普段のインタビュー活動の他に早稲田祭では毎年講演会を企画しています。ここでは全ての会員が一丸となって一つの企画を作り上げるので、終わった後は大きな達成感があると思います。,不定期,40人,1965年,"	0人",メディア·出版,企画
企画集団　便利舎,"早稲田大学公認企画サークル企画集団便利舎です！私たちは芸能人や著名人の方をお呼びして、4月、7月、早稲田祭の時期に年5回ほど、トークライブやイベント等を行っています。企画の立ち上げ、考案から実際の運営まで、全て自分たちだけで行います。実際の流れを紹介すると、まず自分のやりたい企画をプレゼンするコンペを行います。このコンペに制限はなく、自分の趣味に沿ったものや呼びたい芸能人のものなど好きな企画をプレゼンすることができます。企画が決定したら、ブッキングや打ち合わせ等も自分たちで行うため、忙しくはなりますがかけがえない経験を得ることができます。また、普段の会議ではサークル員全員で、企画内容やコンテンツなどの案だしをしたり、実際にやってみることでより良い案を考えたりします。企画本番が近づいてくると、1日通して企画の準備を行い、本番で使用するスライドや映像の作成などを行います。映像機器や音響機器のオペも自分たちで行うため、リハーサルで練習したりもします。本番では舞台袖でゲストの方とお話ししたり、サインをいただけることなんかもあります！制作やオペについては先輩が教えてくれるので、初心者でも安心してください。また、毎年早稲田祭を熱狂の渦に巻き込む早稲田王決定戦も開催しています。最も""早稲田""らしい奴を決めるこの戦いは早稲田祭の目玉企画です。企画の情報は各種公式SNSで随時更新しています。",毎週月曜日・金曜日/18時半/学生会館会議室,31人,1978年,0人,メディア·出版,企画
早稲田大学アニメ声優会,過去に『魔法先生ネギま！』、『さよなら絶望先生』、『侵略！ イカ娘』などのイベントや『竹達彩奈＆巽悠衣子トークイベント in 早稲田』のイベントを主催し毎年600人前後のお客さまを動員しています。また2007年度からはアニメやアニメソングの制作に携わっている方々、ワタナベシンイチさん、佐藤順一さん、畑亜貴さんや近藤光さんをお呼びしての無料講演会を開催するなど、他のアニメ系サークルとは一風違ったイベントも主催しております。これらの活動は、皆さんの大好きなアニメに関わるイベントを開催するというだけではなく大学生のサークルであることを生かして未知なる世界を体験することや仲間と共に何かをやり遂げる達成感と連帯感を味わい充実した思い出を作っていくことでもあります。イベントを企画運営するということはそれだけで企業との交渉や広報活動金銭の取り扱いさらには当日のお客さまの入場整理や受付などさまざまな業務をこなすことになります。こんな貴重な経験はめったにできませんし、きっと皆さんの糧となるに違いありません。アニメ、声優好き、そして「イベント開催に興味のある方」、イベントを開催する側になってみませんか？ 熱意あふれる方、心からお待ちしております。,毎週水曜日(10月は金曜日も)/17時/学生会館,78人,1999年,"	5人",メディア·出版,企画
早稲田祭運営スタッフ（まつりスタッフ）,"早稲田祭運営スタッフ(まつりスタッフ)は、日本最大級の学園祭である早稲田祭を主催・運営する組織です。早稲田祭はコロナ前の規模では約20万人の来場者、400以上もの企画数を誇る、年一度の早稲田文化の祭典です。コロナ禍においてもオンライン開催やハイブリッド開催を通じて、早稲田文化の華ひらく場をつくり続けてきました。毎年「早稲田らしさ」を規定したテーマを設定し、その年の早稲田祭を彩っています。

私たちは、約600人のメンバーから成る非常に大きな組織です。早稲田祭当日の会場の整備、早稲田祭に参加する団体や個人のサポート、外部主体との渉外活動、早稲田祭の広報やデザインの作成、自ら主催する運営スタッフ企画の立案や運営、新領域の開拓、内部資源や資金の管理など、専門の異なる活動は多岐にわたっています。学生による自主運営をモットーに、年に一度、二日間の祭に向けてメンバー全員が一体となって活動しています。",毎週月曜日・木曜日/18:30〜/学生会館,600人,2002年,0人,メディア·出版,企画
早稲田イルミネーションプロジェクト実行委員会,早稲田イルミネーションプロジェクト実行委員会(WIP)は2005年に発足しました。もともとは留学生との交流を目的とした大学公式プロジェクトでしたが、現在では学生が主体となって活動しています。早稲田祭に向けてイルミネーションを使った創作活動をしたり、地域の皆さんと交流・協力しながら大学周辺をイルミネーションで飾りつけたりしています。これまでに、「光るワセダベア」の作成や、サッカーJ1の川崎フロンターレさんとのコラボなどをさせていただいています。学生や地域の人々がアイデアを出し合い、協力して作業する中で生まれるつながりこそ、このプロジェクトが一番大切にしているものです。これからもWIPは、早稲田に光でつながる人々の笑顔を創り出します。,毎週水曜日・金曜日/18時15分/本キャン・学生会館,40人,2005年,"	1人",メディア·出版,企画
わせプロ,私たちわせプロは早稲田最大規模であるWaseda Collection(通称ワセコレ)の企画・運営を行う早稲田大学公認サークルです。ワセジョは地味でダサいというイメージを払拭（ふっしょく）し、オシャレで華やかで個性的なワセジョの魅力を発信することを目標に、早稲田生のデザイナーモデルを発掘・起用し、本格的なショーを年に数回開催しています。またWaseda Collectionは今年で10年目を迎え、過去にはモデルやアナウンサーなど幅広い分野で活躍する方々を排出しています。,毎週月曜日/6.7限/学生会館,45人,2007年,0人,メディア·出版,企画
Walkin',早稲田大学公認、インカレ（他大生歓迎）の“内部向け企画サークル”です。早稲田大学には他にも多くの企画サークルが存在しますが、それらと一線を画すのが“内部向け”であるということ。つまり、「自分たちで作った、自分たちのための企画を、自分たちで楽しむ。」というタイプの企画サークルなのです。「明日自慢できるバカをしよう。」というスローガンにのっとって、次の日に友達に自慢できるようなバカげた遊びを本気で企画します。Walkin'はやりたいことが何でもできる、今までやりたくてもできなかったことができる、”夢をかなえる”サークルです。“I”ではできなかったことも“We”ならできるかもしれない。そういうことです。例：マグロ解体ショー、リアル脱出ゲーム、逃走中、鯖（さば）でサバゲー、ビンカン選手権、手ぶらの旅、などなど。,毎週水曜日/18時半/学生会館,80人,2009年,0人,メディア·出版,企画
TEDxWasedaU,TEDxWasedaUの目的は「アイデアの共有」です。TEDxWasedaUでは異なるバックグラウンド、国籍、学部の学生たちが集まり、革新的で価値のあるアイデアを共有する舞台を提供しています。TEDxWasedaUはファイナンスチーム、スピーカーチーム、デザインチーム、そしてマーケティングチームの四つのチームに分かれています。この4つのチームが協力し合い、バイリンガルイベントを作り上げています。私たちは主に「Student Speaker Competition」（学生スピーカーコンテスト）と「Main Event」のイベントに向けて活動をしています。,"リーダーチーム：毎週火曜日/19時/Wspace 3号館



ファイナンスチーム：毎週金曜日/17時/3号館



マーケティングチーム：毎週月曜日/19時半/3号館



スピーカーチーム：毎週木曜日/19時/11号館



デザインチーム：毎週木曜日/19時半/11号館",49人,2011年,"	0人",メディア·出版,企画
早稲田大学紅葉会,"私たちは2016年に生まれた政治目的を持たず、非営利的な留学生団体です。日本にいる中国人留学生達により多く可能性を作り出すのと同時に、日中、ないし国際交流の場を作っていきたいと努力しております。

近年、私たちは学業と生活の情報共有を目処に科目情報ページ「温玉」と新入生案内手引きを創り上げ、何回かの中小規模の就職・進学セミナーを催しました。それ以外に、留学生向けのディベート大会や定期読書会「珈琲学舎」、学期ごとの新入生歓迎会、例年のクリスマスパーティと首都圏の留学生向けのクリスマスミュージックパーティなど、様々なイベントを企画しております。

もちろん、「日中学生交流連盟」の一員として、日中交流の促進にも力入れております。上海文来高校、成都外国語高校など、日本に興味を示す方々に早稲田大学に関して多様な面から紹介するイベントを催しました。また、南京外国語学校と早稲田大学を拠点に日本人大学生と中国人高校生の交流イベントは開催しております。",学生会館（木曜日、18:50~20:00）,27人,2016年,27人,メディア·出版,企画
ロータリーの会,"高田馬場駅前ロータリー広場の散乱ゴミ問題解決を目指して活動しているサークルです！主な活動として、平日朝と夜に清掃活動を行っているほか、企業や商店街の方と協働して企画を立てたり、問題認識を広めるためのポスター掲示や展示会を行ったり、新宿区に対してロータリーに関する政策提言などを行っています。
/
/近年、コロナ禍における路上飲みが問題視され、高田馬場駅前ロータリーが報道番組によって報道される中で我々ロータリーの会も同時に世間の目に多く触れることとなりました。テレビだけでなく新聞記事などのメディアにも掲載されており、早稲田大学のサークルの中でもっとも伸長しているサークルの一つだと言えます！上記の報道を見た方の多くはロータリーを汚しているのは早大生だと捉えています。早大生にとっても関わりの深いロータリー。そこで起きているゴミ問題を無くせるのは我々早大生ではないでしょうか。
/
/入会しなくても清掃には参加できるので、朝早く起きたい時、近くで用事がある時、何か新しいことを始めたくなったりしたら是非気軽に足を運んでみてください！",平日/朝8時（金曜のみ夜10時)/高田馬場駅前ロータリー広場,44人,2020年,1人,メディア·出版,企画
マジッククラブ,本サークルは、年に3回行われるステージマジックの発表会に向けて活動するサークルです。発表会はそれぞれ、6月に2年生による「ファミリーパーティー」、9月に1年生による「マジカルネットワーク」、11月に3年生による「定期発表会」があり、各学年全員で行います。また他のサークル員はスタッフとしてサポートし、全員で発表会を作り上げていきます。発表会の時期が近づくとリハーサルなどの活動がありますが、基本的に活動時期は不定期なので、バイトや他サーなどと両立しながらできるのも本サークルの特徴です。サークル員のほとんどは加入時、マジック未経験者だったので、どのような方でも楽しく充実したサークル活動を行うことができます。,不定期/学生会館E637,61人　,1960年,0人　　,,レクリエーション
理工探水会,探水会は50年以上の歴史ある釣りとアウトドアのサークルです。主な活動は自然あふれる場所で釣りやキャンプ、BBQなどをして楽しむことです。自由でまったりとした雰囲気のサークルで好きになること間違いなし。もちろん初心者歓迎です。具体的な活動は、活動内容を話し合う定例会と月1の月例釣りがあります。学校帰りにさらっとシーバスを釣りに行くこともあったりします。サークルの活動の目玉は夏合宿で、新島や神津島といった離島に行きます。釣りで普段は出会わない大物を釣るもよし、サイクリングして汗を流すのも、島のゆったりとした時間に身をまかせるのも、それぞれが自由に活動してます。大学生活を充実させたい、楽しい仲間を見つけたい、そんな人にはぴったりなサークルだと思うのでぜひ遊びに来てください。,不定期/16時〜/学生会館,40人,1960年,1人,,
コンピュータ研究会・WINC,早稲田大学内で一番長い歴史を持つITサークルです！ プログラミングしたことがない人も専門の知識を持った上級生が丁寧に教えるので一歩一歩着実に学びながら上達できます。そしてプログラミング以外ではネットワークやサーバー構築、最近ではパソコンを利用した活動ということでIoT、CGレンダリングやDTMなども行っています。部員一人一人がやりたい活動を重視して半年ごとに活動内容を決めているので自分が学びたいことを専門的に学ぶ機会も得ることができます。 普段の活動は学生会館にある部室で行っていて、そこにはコンピューターがあるのでノートパソコンを持っていない人でもプログラミングなどができますし、授業がない時間に部員同士が集まって交流の場にもなったりしています。,随時/学生会館E-731,40人,1965年,"	3人",,
経営情報学会(MISW),経営情報学会(MISW)はプログラミング、CGイラスト、コンピューター作曲などのデジタル系コンテンツを一挙に手がける、早稲田最大の総合創作サークルです。会員はサークル内にて、ゲーム開発の主軸を担うプログラミング研究会、イラスト制作に携わるCG研究会、コンピューター作曲を手がけるMIDI研究会のいずれかに所属して活動しています。主に会員は入会後に「企画」と呼ばれるゲーム制作のチームを組み、早稲田祭やコミックマーケットなどの頒布イベントに向けて、さまざまなゲームやアプリケーションソフトを開発しています。そのほかにもサークル内で制作した画集や音楽CDの頒布を行ったり、VOCALOIDを用いた楽曲PVをニコニコ動画やYouTubeといった外部メディアに投稿したりするなど、ゲーム制作の枠を超えて幅広く活動しています。近年の活動は先に紹介した研究会の3分野にとどまらず、3DCGソフトによるモデリング、Unity開発、シナリオ執筆、動画制作などの新しい活動が、会員の興味や目的に沿って展開されています。また、経験者が初心者を丁寧にフォローする体制が整っているのもひとつの強みです。新しい創作のカタチを実現しに、ぜひMISWに来てください！,毎週水・金曜日/18時15分〜19時45分/西早稲田キャンパス52-101,86人,1969年,"	2人",,
早稲田大学バンザイ同盟,創立1971年の超名門バンザイ系サークル。「全国のおめでたいところに駆けつけ、さらにおめでたくし、その渦中で自分たちも勝手に楽しむ」ことを使命とし、768種（2016年現在）ものバンザイの研さんに日夜取り組んでいる。主に歓送迎会や表彰式、結婚式での余興として全国に活動実績を持ち、年間の依頼総数は50件を優に上回る。また各種テレビ・新聞などメディアへの出演経験も豊富で、その謎に包まれた実態の割に思いの外高い知名度を誇ることでも知られる。普段は部室（現在は学生会館E709）にてバンザイの研究および開発を行うことが主な活動であり、年数回の合宿や各種イベントへの出演など実戦経験を積むことにより同盟員は優れたバンザイ能力を獲得するのである。,全国のおめでたい場所/学生会館E709,40名,1971年,0人,,
"クイズ研究会（W.Q.S.S)
",月曜は未経験者限定、火曜は経験者向けのクイズ活動。その他の曜日はイントロクイズなど多彩なサークル内サークルが活動しています！個性あふれるメンバーが君を待ってるよ！,毎週月〜金曜日(曜日により内容に差あり)/15:05〜/学生会館,64人,1980年,0人,,
碧稲プロジェクトチーム（碧稲会）,"何をするかではなく、「このサークルの人たち」と何かをしたい。ディベートやさまざまな企画を通して、仲間たちの絆を日々深めています。他ではバカにされるような遊びも、全力でやります！/
/普段は授業の合間にラウンジに集まり、ダラダラしたり、真面目にディベートについて話し合っています。ディベートは各合宿でチームに分かれ、さまざまなジャンルやテーマについて論じ合います。/
/他にも企画に力を入れており、学術的な企画から、遊びの企画まで斬新な企画も立てたりして、みんなでそれを全力で楽しみます。/
/年4回の合宿、納会、そして沖縄旅行など大学生活でやりたいことも全てでき、今まで味わったことのない楽しみを得ることができます。最後の仲間と最高の思い出が作れます！",毎週火曜日・木曜日・金曜日/13時/学生会館,60人,1986年,0人,,
早稲田大学かくれんぼ同窓会,"let's play hide and seek.
/
/
/
/mikke
/
/
/
/世界でかくれんぼをします。",不定期/世界,多め,1999年,少なめ,,
シミュレーションゲーム研究会,毎週土曜日に集まってゲームをしています。ボードゲームやカードゲームならMTGやWSなどをします。,,21人,,,,
雄弁会,"早稲田大学雄弁会は1902（明治35）年設立の政治サークルです。まだメディアが発展途上だった当時、足尾銅山鉱毒事件の惨状に心を痛めた学生たちと共に、早稲田大学建学の母たる小野梓が結成し、大隈重信公が初代総裁となって当会は生まれました。以来100年以上にわたり、雄弁会は会の結成趣旨を忘れず、常に「社会の進運に寄与する真の雄弁家」を目指して活動して来ました。

雄弁会員の主な活動は会旨に基づいた「演練・研究・実践」です。「演練」では弁論の作成と技術の向上を目指します。弁論大会に出場し、実際に演台から自らの意見を発信することもあります。「研究」では主に勉強会を行い、各会員の興味分野を会に共有することもできます。「実践」は社会に出て様々な取組を行うことで、議員インターンをしている会員もいますし、ボランティアに参加する会員もいます。

雄弁会は、学生という立場から政治や社会に関われることに何でも取り組もうという「進取の精神」を持つ学生の集まりと言えます。数多くの弁論大会での優勝・入賞や、5人の総理大臣経験者を始めとした各界で活躍される先輩方の存在は会の特長が表れていると言えるでしょう。

入会に際しては、学年や学部、これまでの経験といったものは一切不問です。少しでも気になりましたら、ぜひ遠慮なくお問い合わせください。様々な新歓イベントも行っているのでお待ちしております！",学生会館E512及び貸会議室など,30人,1902年,0人,学問,政治
